DATE,RAINFALL
1/1/1901,5.6
2/1/1901,0.1
3/1/1901,0.4
4/1/1901,35.7
5/1/1901,19.9
6/1/1901,746.1
7/1/1901,1075.5
8/1/1901,748
9/1/1901,117.4
10/1/1901,38.6
11/1/1901,5.4
12/1/1901,0.1
1/1/1902,0.3
2/1/1902,0
3/1/1902,0
4/1/1902,0.4
5/1/1902,7.6
6/1/1902,428.2
7/1/1902,943.6
8/1/1902,515.1
9/1/1902,613.8
10/1/1902,74.3
11/1/1902,42.7
12/1/1902,48
1/1/1903,0
2/1/1903,0
3/1/1903,0.1
4/1/1903,0
5/1/1903,201.1
6/1/1903,470.5
7/1/1903,1298.6
8/1/1903,673.9
9/1/1903,285.1
10/1/1903,140.8
11/1/1903,12.4
12/1/1903,1.7
1/1/1904,0
2/1/1904,0.1
3/1/1904,6.6
4/1/1904,6.3
5/1/1904,4.6
6/1/1904,975.8
7/1/1904,771.7
8/1/1904,321.3
9/1/1904,217
10/1/1904,90.3
11/1/1904,0
12/1/1904,0
1/1/1905,0.1
2/1/1905,0.1
3/1/1905,0
4/1/1905,0.4
5/1/1905,8.6
6/1/1905,293.7
7/1/1905,770.6
8/1/1905,305.5
9/1/1905,208.3
10/1/1905,83.5
11/1/1905,12.1
12/1/1905,0
1/1/1906,5
2/1/1906,0.9
3/1/1906,0
4/1/1906,0
5/1/1906,2.9
6/1/1906,547.4
7/1/1906,1090.9
8/1/1906,506.7
9/1/1906,222.5
10/1/1906,31.6
11/1/1906,10.2
12/1/1906,0.7
1/1/1907,1.7
2/1/1907,1
3/1/1907,0
4/1/1907,20.1
5/1/1907,0
6/1/1907,583.1
7/1/1907,1170.9
8/1/1907,811.5
9/1/1907,164
10/1/1907,11.4
11/1/1907,1.9
12/1/1907,0.9
1/1/1908,0.9
2/1/1908,1.1
3/1/1908,0
4/1/1908,2.3
5/1/1908,1
6/1/1908,440
7/1/1908,1391.8
8/1/1908,649.8
9/1/1908,222.4
10/1/1908,24.6
11/1/1908,1.6
12/1/1908,0
1/1/1909,0.1
2/1/1909,0
3/1/1909,0.1
4/1/1909,0.3
5/1/1909,7.8
6/1/1909,759.5
7/1/1909,1301.8
8/1/1909,381.5
9/1/1909,384.4
10/1/1909,17.5
11/1/1909,7.4
12/1/1909,0.1
1/1/1910,0
2/1/1910,0
3/1/1910,0.3
4/1/1910,0
5/1/1910,2.6
6/1/1910,832.4
7/1/1910,407.8
8/1/1910,763.2
9/1/1910,374.6
10/1/1910,121.4
11/1/1910,41.7
12/1/1910,0
1/1/1911,0.2
2/1/1911,0
3/1/1911,3.2
4/1/1911,0
5/1/1911,17.1
6/1/1911,543.6
7/1/1911,585.6
8/1/1911,750.3
9/1/1911,175.5
10/1/1911,34.2
11/1/1911,21.4
12/1/1911,3.6
1/1/1912,0
2/1/1912,0
3/1/1912,0
4/1/1912,4.1
5/1/1912,28.9
6/1/1912,671
7/1/1912,1242.9
8/1/1912,541.7
9/1/1912,135.2
10/1/1912,71.9
11/1/1912,97.5
12/1/1912,0
1/1/1913,0
2/1/1913,0
3/1/1913,0
4/1/1913,1.3
5/1/1913,18.7
6/1/1913,897.9
7/1/1913,1074.3
8/1/1913,321.8
9/1/1913,194.4
10/1/1913,107.5
11/1/1913,1.6
12/1/1913,0
1/1/1914,0
2/1/1914,0.8
3/1/1914,0
4/1/1914,0.8
5/1/1914,1.6
6/1/1914,706.9
7/1/1914,1370.3
8/1/1914,797.6
9/1/1914,549.9
10/1/1914,21.9
11/1/1914,11.2
12/1/1914,3.6
1/1/1915,0
2/1/1915,4.7
3/1/1915,5.9
4/1/1915,10.2
5/1/1915,7.7
6/1/1915,845.1
7/1/1915,734.4
8/1/1915,355.1
9/1/1915,412.2
10/1/1915,137.4
11/1/1915,12.8
12/1/1915,0.3
1/1/1916,0
2/1/1916,0
3/1/1916,0
4/1/1916,2.4
5/1/1916,39.9
6/1/1916,832.7
7/1/1916,765.6
8/1/1916,851.1
9/1/1916,620.1
10/1/1916,204.7
11/1/1916,86.1
12/1/1916,0
1/1/1917,0
2/1/1917,18.4
3/1/1917,1.2
4/1/1917,0.3
5/1/1917,17.5
6/1/1917,807.6
7/1/1917,675.1
8/1/1917,902.5
9/1/1917,567.7
10/1/1917,408
11/1/1917,32.6
12/1/1917,0
1/1/1918,0.1
2/1/1918,0
3/1/1918,3.3
4/1/1918,0.1
5/1/1918,345.4
6/1/1918,334.1
7/1/1918,424.7
8/1/1918,578.1
9/1/1918,123.6
10/1/1918,5.8
11/1/1918,52
12/1/1918,0
1/1/1919,2.5
2/1/1919,0
3/1/1919,0
4/1/1919,0
5/1/1919,9.6
6/1/1919,643.6
7/1/1919,1120.2
8/1/1919,643.5
9/1/1919,276.8
10/1/1919,124.5
11/1/1919,20.6
12/1/1919,10.5
1/1/1920,14
2/1/1920,1.2
3/1/1920,0
4/1/1920,12
5/1/1920,5.1
6/1/1920,424.9
7/1/1920,824
8/1/1920,360.8
9/1/1920,226.7
10/1/1920,52.4
11/1/1920,2.9
12/1/1920,0
1/1/1921,0.3
2/1/1921,0
3/1/1921,0.1
4/1/1921,4.8
5/1/1921,0
6/1/1921,658.1
7/1/1921,1102.5
8/1/1921,611.8
9/1/1921,450.4
10/1/1921,57.5
11/1/1921,13.7
12/1/1921,0
1/1/1922,0
